FPS,Sentence,Program Status,Detection Time,TTS Time
2.047654058445204,,standby,0.6140420436859131,0
12.040038695269015,,standby,0.09873056411743164,0
20.676976470182254,,standby,0.09657740592956543,0
20.22140691064946,,standby,0.09704399108886719,0
16.50572975695756,,standby,0.09709477424621582,0
12.37619245738431,,standby,0.09574437141418457,0
15.917178985078252,,standby,0.10242915153503418,0
15.405566023529065,,standby,0.09497976303100586,0
15.696423091604482,,standby,0.09480905532836914,0
15.606015731390599,tolong,not-standby,0.09400033950805664,0
15.627821019647003,tolong,not-standby,0.09134888648986816,0
12.578170029898729,tolong,not-standby,0.09240531921386719,0
15.537566772613783,tolong,not-standby,0.09848618507385254,0
15.596962642887423,tolong,not-standby,0.09423208236694336,0
15.644317130665712,tolong,not-standby,0.0924067497253418,0
15.62077852428978,tolong,standby,0.09279632568359375,0
15.718776467766476,tolong,standby,0.10179829597473145,0
12.465684701071128,tolong,standby,0.0986795425415039,0
15.577441458840132,tolong,standby,0.09599590301513672,0
15.704886359381435,tolong,standby,0.10468578338623047,0
15.498010235187614,tolong,standby,0.10100460052490234,0
15.7463349438932,tolong,standby,0.10372138023376465,0
12.274419026604352,tolong,standby,0.09572291374206543,0
15.889862517568883,tolong saya,not-standby,0.09651350975036621,0
15.324457435147972,tolong saya,not-standby,0.0936274528503418,0
15.96328026580703,tolong saya,not-standby,0.09677672386169434,0
15.372197177936595,tolong saya,not-standby,0.09676837921142578,0
15.837124301465035,tolong saya,not-standby,0.09707355499267578,0
12.588665019914101,tolong saya,not-standby,0.09712004661560059,0
15.700300956773024,tolong saya,standby,0.09371304512023926,0
1.6258989961169648,tolong saya,standby,0.09323906898498535,0
9.927605215757097,tolong saya,standby,0.09496164321899414,0
10.140476766113824,tolong saya,standby,0.09211468696594238,0
10.199287512006517,tolong saya,standby,0.09285950660705566,0
10.194180939673004,tolong saya,standby,0.09528589248657227,0
10.336475453266203,tolong saya,standby,0.10288357734680176,0
9.616698918715665,tolong saya,standby,0.10068058967590332,0
10.41874144565085,tolong saya,standby,0.09505486488342285,0
10.437564545710183,tolong saya nama,not-standby,0.09460234642028809,0
10.416542077892405,tolong saya nama,not-standby,0.09517669677734375,0
10.65382407477965,tolong saya nama,not-standby,0.09268712997436523,0
10.605093818189173,tolong saya nama,not-standby,0.09443974494934082,0
9.95085195325289,tolong saya nama,not-standby,0.09427762031555176,0
10.39148326805061,tolong saya nama,standby,0.09947466850280762,0
10.70499836654688,tolong saya nama,standby,0.10264778137207031,0
10.548762483935304,tolong saya nama,standby,0.0984187126159668,0
9.63430427402257,tolong saya nama,standby,0.09762024879455566,0
9.931813123061259,tolong saya nama,standby,0.09473848342895508,0
10.309974927486358,tolong saya,delete,0.09715151786804199,0
9.37337475137998,tolong saya,delete,0.09262728691101074,0
9.803692596808538,tolong saya,delete,0.09418940544128418,0
9.534329281044563,tolong saya,delete,0.09331393241882324,0
10.338997924462259,tolong saya,delete,0.09325575828552246,0
10.254721132876297,tolong saya,delete,0.09774231910705566,0
10.457628978049048,tolong saya,standby,0.09437084197998047,0
10.227390546323502,tolong saya,standby,0.09127950668334961,0
10.22851290055114,tolong saya,standby,0.09816455841064453,0
10.196287400694288,tolong saya,standby,0.09206795692443848,0
10.19158004208521,tolong saya,standby,0.0945427417755127,0
10.558109444971668,tolong saya,standby,0.09338498115539551,0
10.611291579384114,tolong saya,standby,0.09699058532714844,0
10.420915851116428,tolong saya,translate,0.09412908554077148,0
10.739397725788818,tolong saya,translate,0.0951392650604248,0
10.654121759098148,tolong saya,translate,0.09831953048706055,0
10.385513827777379,tolong saya,translate,0.0992274284362793,1.6783180236816406
9.625990585848479,tolong saya,standby,0.09570026397705078,0
9.822748999412177,tolong saya,standby,0.09322357177734375,0
10.197402938409136,tolong saya,standby,0.09489321708679199,0
10.45966314046454,tolong saya,standby,0.09572148323059082,0
